locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
miami floridachief technology officer,miami florida,chief technology officer,miami florida,chief technology officer,miami florida,chief technology officer,miami florida,chief technology officer,377040,163112,174675,,,18-Apr-23,,,With two date,238275.6667
san diego californiasenior vice president of engineering,san diego california,senior vice president of engineering,san diego california,senior vice president of engineering,,,san diego california,senior vice president of engineering,206032,,270026,,,17-Jun-23,,,,238029
seattle washingtonsenior director of engineering,seattle washington,senior director of engineering,seattle washington,senior director of engineering,,,seattle washington,senior director of engineering,211378,,264481,,,,,,,237929.5
seattle washingtonvice president of engineering,seattle washington,vice president of engineering,seattle washington,vice president of engineering,seattle washington,vice president of engineering,seattle washington,vice president of engineering,248610,225000,239792,,,23-Jan-23,,,,237800.6667
seattle washingtonchief operating officer,seattle washington,chief operating officer,seattle washington,chief operating officer,seattle washington,chief operating officer,seattle washington,chief operating officer,229752,253076,230468,,,7-Jun-22,,,,237765.3333
west virginiadirector of engineering,west virginia,director of engineering,west virginia,director of engineering,,,west virginia,director of engineering,223079,,252002,,,7-Nov-22,,,,237540.5
utahchief technology officer,utah,chief technology officer,utah,chief technology officer,,,utah,chief technology officer,182641,,292055,,,,,,,237348
tennesseevice president of engineering,tennessee,vice president of engineering,tennessee,vice president of engineering,,,tennessee,vice president of engineering,205183,,267917,,,,,,,236550
cambridge massachusettschief operating officer,cambridge massachusetts,chief operating officer,cambridge massachusetts,chief operating officer,cambridge massachusetts,chief operating officer,cambridge massachusetts,chief operating officer,193724,251477,264000,,,2-Mar-21,,,,236400.3333
rhode islandchief technology officer,rhode island,chief technology officer,rhode island,chief technology officer,,,rhode island,chief technology officer,282666,,188052,,,7-Jun-23,,,,235359
north carolinachief technology officer,north carolina,chief technology officer,north carolina,chief technology officer,,,north carolina,chief technology officer,205992,,264185,,,20-May-23,,,With two date,235088.5
nashville tennesseechief technology officer,nashville tennessee,chief technology officer,nashville tennessee,chief technology officer,nashville tennessee,chief technology officer,nashville tennessee,chief technology officer,315407,203000,185691,,,26-Mar-23,,,,234699.3333
santa clara californiachief technology officer,santa clara california,chief technology officer,santa clara california,chief technology officer,santa clara california,chief technology officer,santa clara california,chief technology officer,231390,239662,232007,,,,,,,234353
new york new yorksenior engineer,new york new york,senior engineer,new york new york,senior engineer,new york new york,senior engineer,new york new york,senior engineer,242633,222955,233507,,,,,,,233031.6667
dallas texaschief operating officer,dallas texas,chief operating officer,dallas texas,chief operating officer,dallas texas,chief operating officer,dallas texas,chief operating officer,194659,256559,246775,,,,,,,232664.3333
alaskachief technology officer,alaska,chief technology officer,alaska,chief technology officer,,,alaska,chief technology officer,207179,,257774,,,22-May-23,,,With two date,232476.5
irvine californiavice president of engineering,irvine california,vice president of engineering,irvine california,vice president of engineering,irvine california,vice president of engineering,irvine california,vice president of engineering,247733,220000,228864,,,12-May-23,,,,232199
palo alto californiasenior engineer,palo alto california,senior engineer,palo alto california,senior engineer,palo alto california,senior engineer,palo alto california,senior engineer,242266,202940,251077,,,,,,,232094.3333
tulsa oklahomachief operating officer,tulsa oklahoma,chief operating officer,tulsa oklahoma,chief operating officer,tulsa oklahoma,chief operating officer,tulsa oklahoma,chief operating officer,205212,294791,195464,,,,,,,231822.3333
san jose californiavice president of engineering,san jose california,vice president of engineering,san jose california,vice president of engineering,san jose california,vice president of engineering,san jose california,vice president of engineering,232414,262646,200255,,11-Mar-23,29-Mar-23,,With two date,,231771.6667
mountain view californiavice president of engineering,mountain view california,vice president of engineering,mountain view california,vice president of engineering,,,mountain view california,vice president of engineering,203378,,259961,,,,,,,231669.5
californiasenior engineer,california,senior engineer,california,senior engineer,,,california,senior engineer,245136,,216946,,,,,,,231041
palo alto californiachief operating officer,palo alto california,chief operating officer,palo alto california,chief operating officer,palo alto california,chief operating officer,palo alto california,chief operating officer,230256,335035,126843,,,,,,,230711.3333
los angeles californiachief operating officer,los angeles california,chief operating officer,los angeles california,chief operating officer,los angeles california,chief operating officer,los angeles california,chief operating officer,241089,220833,229570,,,26-May-23,,,,230497.3333
fort lauderdale floridasenior vice president of engineering,fort lauderdale florida,senior vice president of engineering,fort lauderdale florida,senior vice president of engineering,,,fort lauderdale florida,senior vice president of engineering,218343,,242456,,,25-May-23,,,With two date,230399.5
st. louis missourivice president of engineering,st. louis missouri,vice president of engineering,st. louis missouri,vice president of engineering,st. louis missouri,vice president of engineering,,,263481,196642,,,,,,,,230061.5
san jose californiachief operating officer,san jose california,chief operating officer,san jose california,chief operating officer,san jose california,chief operating officer,san jose california,chief operating officer,214559,272596,202324,,,,,,,229826.3333
redwood city californiavice president of engineering,redwood city california,vice president of engineering,redwood city california,vice president of engineering,redwood city california,vice president of engineering,redwood city california,vice president of engineering,223223,237474,227837,,,,,,,229511.3333
new hampshirechief technology officer,new hampshire,chief technology officer,new hampshire,chief technology officer,,,new hampshire,chief technology officer,166066,,292928,,,9-May-23,,,,229497
reno nevadachief technology officer,reno nevada,chief technology officer,reno nevada,chief technology officer,,,reno nevada,chief technology officer,320346,,138636,,,,,,,229491
irvine californiachief operating officer,irvine california,chief operating officer,irvine california,chief operating officer,irvine california,chief operating officer,irvine california,chief operating officer,203233,300000,183960,,,,,,,229064.3333
tampa floridachief technology officer,tampa florida,chief technology officer,tampa florida,chief technology officer,tampa florida,chief technology officer,tampa florida,chief technology officer,281468,185000,219263,,,30-Sep-20,,,,228577
redwood city californiasenior engineer,redwood city california,senior engineer,redwood city california,senior engineer,redwood city california,senior engineer,redwood city california,senior engineer,238995,235000,210020,,,,,,,228005
pennsylvaniachief technology officer,pennsylvania,chief technology officer,pennsylvania,chief technology officer,,,pennsylvania,chief technology officer,264409,,191377,,,26-May-23,,,,227893
cambridge massachusettschief technology officer,cambridge massachusetts,chief technology officer,cambridge massachusetts,chief technology officer,cambridge massachusetts,chief technology officer,cambridge massachusetts,chief technology officer,173950,209524,300000,,,,,,,227824.6667
arkansaschief technology officer,arkansas,chief technology officer,arkansas,chief technology officer,,,arkansas,chief technology officer,265947,,189423,,,11-Jun-23,,,,227685
minneapolis minnesotasenior vice president of engineering,minneapolis minnesota,senior vice president of engineering,minneapolis minnesota,senior vice president of engineering,,,minneapolis minnesota,senior vice president of engineering,223905,,230416,,,10-Nov-22,,,,227160.5
san francisco californiasenior director of engineering,san francisco california,senior director of engineering,san francisco california,senior director of engineering,,,san francisco california,senior director of engineering,200923,,252891,,,10-May-23,,,,226907
wisconsindirector of engineering,wisconsin,director of engineering,wisconsin,director of engineering,,,wisconsin,director of engineering,206915,,246699,,,7-Jun-23,,,,226807
philadelphia pennsylvaniavice president of engineering,philadelphia pennsylvania,vice president of engineering,philadelphia pennsylvania,vice president of engineering,philadelphia pennsylvania,vice president of engineering,philadelphia pennsylvania,vice president of engineering,249544,247463,182161,,,,,,,226389.3333
las vegas nevadavice president of engineering,las vegas nevada,vice president of engineering,las vegas nevada,vice president of engineering,las vegas nevada,vice president of engineering,las vegas nevada,vice president of engineering,252542,200000,226222,,,19-Feb-23,,,With two date,226254.6667
richmond virginiasenior vice president of engineering,richmond virginia,senior vice president of engineering,richmond virginia,senior vice president of engineering,,,richmond virginia,senior vice president of engineering,210109,,242141,,,,,,,226125
los angeles californiasenior engineer,los angeles california,senior engineer,los angeles california,senior engineer,los angeles california,senior engineer,los angeles california,senior engineer,232937,252000,190000,,3-Feb-23,,,With two date,,224979
cincinnati ohiochief technology officer,cincinnati ohio,chief technology officer,cincinnati ohio,chief technology officer,cincinnati ohio,chief technology officer,cincinnati ohio,chief technology officer,310615,149664,214606,,,,,,,224961.6667
