locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
iowavice president of engineering,iowa,vice president of engineering,iowa,vice president of engineering,,,iowa,vice president of engineering,290205,,148144,,,11-Apr-23,,,With two date,219174.5
los angeles californiasenior vice president of engineering,los angeles california,senior vice president of engineering,los angeles california,senior vice president of engineering,,,los angeles california,senior vice president of engineering,223953,,214391,,,16-Mar-23,,,,219172
raleigh north carolinavice president of engineering,raleigh north carolina,vice president of engineering,raleigh north carolina,vice president of engineering,raleigh north carolina,vice president of engineering,raleigh north carolina,vice president of engineering,214486,210000,232882,,19-Dec-22,,,With two date,,219122.6667
san francisco californiasenior engineer,san francisco california,senior engineer,san francisco california,senior engineer,san francisco california,senior engineer,san francisco california,senior engineer,236678,205514,215092,,,29-Apr-23,,,,219094.6667
new hampshiresenior vice president of engineering,new hampshire,senior vice president of engineering,new hampshire,senior vice president of engineering,,,new hampshire,senior vice president of engineering,202783,,235181,,,30-Nov-22,,,,218982
cincinnati ohiochief operating officer,cincinnati ohio,chief operating officer,cincinnati ohio,chief operating officer,cincinnati ohio,chief operating officer,cincinnati ohio,chief operating officer,207468,215000,234218,,,,,,,218895.3333
austin texasvice president of engineering,austin texas,vice president of engineering,austin texas,vice president of engineering,austin texas,vice president of engineering,austin texas,vice president of engineering,262223,196527,197926,,,8-Jun-23,,,With two date,218892
south carolinasenior vice president of engineering,south carolina,senior vice president of engineering,south carolina,senior vice president of engineering,,,south carolina,senior vice president of engineering,196171,,241358,,,29-Aug-22,,,,218764.5
iowachief technology officer,iowa,chief technology officer,iowa,chief technology officer,,,iowa,chief technology officer,271261,,165628,,,,,,,218444.5
baton rouge louisianachief operating officer,baton rouge louisiana,chief operating officer,baton rouge louisiana,chief operating officer,baton rouge louisiana,chief operating officer,baton rouge louisiana,chief operating officer,200503,356078,97705,,,13-May-23,,,,218095.3333
houston texassenior engineer,houston texas,senior engineer,houston texas,senior engineer,houston texas,senior engineer,houston texas,senior engineer,243520,215000,195744,,,30-Apr-23,,,With two date,218088
san diego californiaengineer manager,san diego california,engineer manager,san diego california,engineer manager,san diego california,engineer manager,san diego california,engineer manager,176677,200000,276802,,,21-Apr-23,,,,217826.3333
miami floridasenior vice president of engineering,miami florida,senior vice president of engineering,miami florida,senior vice president of engineering,,,miami florida,senior vice president of engineering,210891,,224426,,,26-May-20,,,,217658.5
durham north carolinavice president of engineering,durham north carolina,vice president of engineering,durham north carolina,vice president of engineering,durham north carolina,vice president of engineering,durham north carolina,vice president of engineering,200632,192500,259085,,,,,,,217405.6667
boston massachusettssenior vice president of engineering,boston massachusetts,senior vice president of engineering,boston massachusetts,senior vice president of engineering,,,boston massachusetts,senior vice president of engineering,228120,,206423,,,16-May-23,,,,217271.5
oakland californiachief operating officer,oakland california,chief operating officer,oakland california,chief operating officer,oakland california,chief operating officer,oakland california,chief operating officer,194891,244000,212741,,,,,,,217210.6667
new york new yorkdirector of engineering,new york new york,director of engineering,new york new york,director of engineering,new york new york,director of engineering,new york new york,director of engineering,212105,236922,201657,,,27-May-23,,,With two date,216894.6667
fresno californiavice president of engineering,fresno california,vice president of engineering,fresno california,vice president of engineering,fresno california,vice president of engineering,fresno california,vice president of engineering,209076,155000,286461,,,25-Apr-23,,,,216845.6667
san mateo californiasenior engineer,san mateo california,senior engineer,san mateo california,senior engineer,san mateo california,senior engineer,san mateo california,senior engineer,238773,178800,232155,,,,,,,216576
ann arbor michiganvice president of engineering,ann arbor michigan,vice president of engineering,ann arbor michigan,vice president of engineering,ann arbor michigan,vice president of engineering,,,248031,185000,,,,,,,,216515.5
baltimore marylandvice president of engineering,baltimore maryland,vice president of engineering,baltimore maryland,vice president of engineering,baltimore maryland,vice president of engineering,baltimore maryland,vice president of engineering,232276,187467,229633,,,,,,,216458.6667
charlotte north carolinavice president of engineering,charlotte north carolina,vice president of engineering,charlotte north carolina,vice president of engineering,charlotte north carolina,vice president of engineering,charlotte north carolina,vice president of engineering,201525,195751,251711,15-Sep-22,,,,,,216329
long beach californiavice president of engineering,long beach california,vice president of engineering,long beach california,vice president of engineering,,,long beach california,vice president of engineering,206609,,225832,,,,,,,216220.5
sacramento californiavice president of engineering,sacramento california,vice president of engineering,sacramento california,vice president of engineering,sacramento california,vice president of engineering,sacramento california,vice president of engineering,217865,207944,221432,,,,,,,215747
fort worth texasvice president of engineering,fort worth texas,vice president of engineering,fort worth texas,vice president of engineering,fort worth texas,vice president of engineering,fort worth texas,vice president of engineering,228876,185000,233336,,,,,,,215737.3333
san mateo californiaprincipal software engineer,san mateo california,principal software engineer,san mateo california,principal software engineer,san mateo california,principal software engineer,san mateo california,principal software engineer,191555,190000,265475,,,,,,,215676.6667
floridachief operating officer,florida,chief operating officer,florida,chief operating officer,,,florida,chief operating officer,179297,,251359,,,20-Mar-23,,,,215328
vermontsenior engineer,vermont,senior engineer,vermont,senior engineer,,,vermont,senior engineer,196740,,233870,,,,,,,215305
houston texassenior vice president of engineering,houston texas,senior vice president of engineering,houston texas,senior vice president of engineering,,,houston texas,senior vice president of engineering,225910,,204617,15-Sep-22,,18-Sep-22,,,With two date,215263.5
hartford connecticutchief technology officer,hartford connecticut,chief technology officer,hartford connecticut,chief technology officer,hartford connecticut,chief technology officer,hartford connecticut,chief technology officer,214064,195000,236424,,,,,,,215162.6667
houston texasvice president of engineering,houston texas,vice president of engineering,houston texas,vice president of engineering,houston texas,vice president of engineering,houston texas,vice president of engineering,210444,190000,244291,,,,,,,214911.6667
