locationjob,date,location,job,salary,two_date
oakland californiaprincipal software engineer,,oakland california,principal software engineer,"123,368",
los alamos new mexicosenior engineer,,los alamos new mexico,senior engineer,"123,357",
northridge californiasenior java developer,,northridge california,senior java developer,"123,345",
colorado springs coloradoprimary care physician,24-Apr-23,colorado springs colorado,primary care physician,"123,342",
san antonio texasuser interface designer,20-Apr-23,san antonio texas,user interface designer,"123,335",With two date
bethesda marylandsoftware developer,21-May-23,bethesda maryland,software developer,"123,328",
nevadanurse practitioner,9-Jun-23,nevada,nurse practitioner,"123,327",
macquarie park nswsenior engineer,,macquarie park nsw,senior engineer,"123,327",
los angeles californiacybersecurity consultant,,los angeles california,cybersecurity consultant,"123,325",
pittsburgh pennsylvaniadata engineer,13-Jun-23,pittsburgh pennsylvania,data engineer,"123,322",
long beach californiafaculty,,long beach california,faculty,"123,320",
milpitas californiaprincipal cloud engineer,,milpitas california,principal cloud engineer,"123,320",
long beach californiadata engineer,,long beach california,data engineer,"123,320",
berkeley californiapsychologist,15-Mar-23,berkeley california,psychologist,"123,319",
new york new yorkassistant superintendent,8-Jun-23,new york new york,assistant superintendent,"123,299",
sydney nswsenior application developer,27-Apr-23,sydney nsw,senior application developer,"123,288",
brisbane qldsenior system engineer,6-Jun-23,brisbane qld,senior system engineer,"123,286",With two date
quebec provinceprincipal technical lead,,quebec province,principal technical lead,"123,280",
idahodirector of engineering,,idaho,director of engineering,"123,280",
wichita kansasfamily nurse practitioner,,wichita kansas,family nurse practitioner,"123,264",
reston virginiafullstack developer,1-Apr-23,reston virginia,fullstack developer,"123,255",
brisbane qldjava developer,26-Apr-23,brisbane qld,java developer,"123,253",With two date
san francisco californiafinancial consultant,19-May-23,san francisco california,financial consultant,"123,252",
delawaresenior software engineer,,delaware,senior software engineer,"123,239",
wisconsinsite reliability engineer,,wisconsin,site reliability engineer,"123,239",
san francisco californiasenior data analyst,,san francisco california,senior data analyst,"123,234",
burlington vermontit developer,,burlington vermont,it developer,"123,229",
san diego californiacloud engineer,12-Jun-23,san diego california,cloud engineer,"123,213",
offutt afb nebraskasenior system engineer,,offutt afb nebraska,senior system engineer,"123,211",
ontario californiaair traffic controller,22-May-23,ontario california,air traffic controller,"123,209",
new yorklawyer,11-Jun-23,new york,lawyer,"123,206",With two date
honolulu hawaiipsychiatrist,26-Aug-22,honolulu hawaii,psychiatrist,"123,194",With two date
new yorkcloud engineer,27-May-23,new york,cloud engineer,"123,193",With two date
scottsdale arizonasuperintendent,27-Apr-23,scottsdale arizona,superintendent,"123,193",With two date
vancouver bcios developer,4-Jun-23,vancouver bc,ios developer,"123,190",
waltham massachusettssite reliability engineer,,waltham massachusetts,site reliability engineer,"123,189",
wisconsinfullstack developer,15-Apr-23,wisconsin,fullstack developer,"123,185",
washington district of columbiafullstack developer,13-Jun-23,washington district of columbia,fullstack developer,"123,182",With two date
vermontsolutions architect,,vermont,solutions architect,"123,181",
bridgewater new jerseysoftware engineer,27-Apr-23,bridgewater new jersey,software engineer,"123,166",
plano texassolutions architect,,plano texas,solutions architect,"123,166",
alaskapsychologist,17-Apr-23,alaska,psychologist,"123,165",
tallahassee floridafrontend developer,,tallahassee florida,frontend developer,"123,160",
new york new yorktechnical lead,,new york new york,technical lead,"123,154",
connecticutphysician assistant,12-Jun-23,connecticut,physician assistant,"123,149",
santa ana californiait developer,20-Mar-23,santa ana california,it developer,"123,142",
bellevue washingtonsenior business intelligence developer,,bellevue washington,senior business intelligence developer,"123,140",
groton connecticutsenior engineering manager,,groton connecticut,senior engineering manager,"123,140",
kent washingtonsoftware engineer,,kent washington,software engineer,"123,137",
cincinnati ohiofullstack developer,16-May-23,cincinnati ohio,fullstack developer,"123,134",
windsor mill marylandsenior java developer,,windsor mill maryland,senior java developer,"123,133",
wilmington delawareios developer,,wilmington delaware,ios developer,"123,130",
san diego californiasenior security engineer,4-May-23,san diego california,senior security engineer,"123,129",
arizonaprincipal software engineer,,arizona,principal software engineer,"123,123",
cambridge massachusettssenior software developer,,cambridge massachusetts,senior software developer,"123,122",
fresno californiapsychologist,24-Apr-23,fresno california,psychologist,"123,122",
alexandria virginiapsychologist,,alexandria virginia,psychologist,"123,115",
princeton new jerseysenior data scientist,,princeton new jersey,senior data scientist,"123,110",
berkeley heights new jerseymobile developer,,berkeley heights new jersey,mobile developer,"123,109",With two date
miami floridaentrepreneur,2-Mar-23,miami florida,entrepreneur,"123,102",
sacramento californiasocial worker,15-Jun-23,sacramento california,social worker,"123,095",With two date
the woodlands texassenior engineer,,the woodlands texas,senior engineer,"123,086",
